barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	861	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode02	barcode02	test_sample	860	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode03	barcode03	test_sample	649	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode04	barcode04	test_sample	687	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode05	barcode05	test_sample	939	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode06	barcode06	test_sample	1012	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode07	barcode07	test_sample	1022	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode08	barcode08	test_sample	723	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode09	barcode09	test_sample	613	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode10	barcode10	test_sample	449	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode11	barcode11	test_sample	1064	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
barcode12	barcode12	test_sample	467	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
unclassified	unclassified	na	1928	e3bdf9d4357eb89c10012f87d4343601f6360eb8	Publicationsummer2022_9Qiagen_3MN	Publicationsummer2022_9Qiagen_3MN	FAR80121	2022-10-14T11:27:23.273464+02:00
