channel,well,flow_cell_id,experiment_tag,seconds_since_start_of_run,initial_0mv_current_pa,initial_0mv_current_std,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,group_1_adjusted_offset_0mv_mean,group_1_adjusted_offset_0mv_std,scan_running_voltage_mv,scan_offset_voltage_mv,reserve_pore_intercept_median_mv,group_1_offset_voltage_mv,mux_scan_assessment,total_time_active,total_good_samples,pore_median,pore_sd,strand_range,strand_median,include_well,group_order,conductance,intercept,collinear_confidence,conductance_filtered_data,initial_voltage_0_mv,initial_current_0_pa,initial_voltage_1_mv,initial_current_1_pa,initial_voltage_2_mv,initial_current_2_pa,multiple,pore_1,pore,event,adapter,strand,strand2,unavailable,zero,unknown_positive,unknown_negative,unclassed,transition,mux_uncertain,offset_0mv_mean,offset_0mv_std,intercept_adjusted_0mv_current_pa_0mv_mean,intercept_adjusted_0mv_current_pa_0mv_std,scan_number
1,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.968,0.58,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,-380.995,0.17,False,-10,-0.906,-20,-0.891,-30,-0.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-1.024,0.571,-1.004,0.566,1
1,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.714,0.689,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,295.433,-0.35,False,-10,-0.687,-20,-0.685,-30,-0.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.682,0.699,-0.708,0.693,1
1,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.798,0.543,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,949.693,-0.08,False,-10,-0.747,-20,-0.75,-30,-0.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.756,0.556,-0.794,0.541,1
1,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.88,0.534,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,-1140.918,-0.09,False,-10,-0.853,-20,-0.842,-30,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.855,0.546,-0.859,0.542,1
2,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.769,0.517,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.004,-176.967,-0.39,False,-10,-0.701,-20,-0.643,-30,-0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.757,0.509,-0.77,0.508,1
2,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.705,0.554,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-10300.0,-0.01,False,-10,-0.686,-20,-0.685,-30,-0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.676,0.544,-0.7,0.53,1
2,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.563,0.573,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,-23.331,-0.41,False,-10,-0.293,-20,-0.058,-30,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44761.0,0.0,0.0,0.0,0.0,0.0,-0.458,0.586,-0.543,0.592,1
2,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.957,0.879,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07,-10.502,-0.04,False,-10,-0.036,-20,0.67,-30,1.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32660.0,1891.0,0.0,0.0,0.0,0.0,0.0,-0.665,0.854,-0.951,0.863,1
3,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,0.376,0.873,-180,5,3.923,5,single_pore,0.0,20531.0,229.37,1.73,0.0,0.0,1,1.0,0.968,5.952,1.27,True,-10,15.456,-20,25.068,-30,34.807,0.0,0.0,5366.0,1577.0,13588.0,0.0,10472.0,13732.0,0.0,0.0,0.0,0.0,105.0,0.0,5.561,0.838,0.29,0.802,1
3,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.117,3.873,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.058,-2.405,0.0,False,-10,0.439,-20,1.017,-30,1.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34097.0,4081.0,0.0,0.0,0.0,0.0,0.0,-0.066,0.908,-0.307,0.918,1
3,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.214,0.532,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,-65.537,-0.26,False,-10,-0.169,-20,-0.128,-30,-0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44352.0,0.0,0.0,0.0,0.0,0.0,-0.196,0.535,-0.22,0.529,1
3,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.366,0.778,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.056,-3.099,-0.03,False,-10,0.387,-20,0.95,-30,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32660.0,1891.0,0.0,0.0,0.0,0.0,0.0,-0.126,0.754,-0.356,0.76,1
4,1,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.616,0.715,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.047,-10.342,0.29,False,-10,-0.011,-20,0.442,-30,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19829.0,8064.0,0.0,0.0,0.0,0.0,0.0,-0.451,0.714,-0.648,0.705,1
4,2,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-1.507,3.629,-180,5,3.923,5,unavailable,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.052,-10.323,-0.38,False,-10,-0.023,-20,0.519,-30,1.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34097.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.486,0.792,-0.735,0.782,1
4,3,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.65,0.483,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,-370.6,0.01,False,-10,-0.595,-20,-0.579,-30,-0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,-0.611,0.481,-0.648,0.492,1
4,4,FAR80121,Publicationsummer2022_9Qiagen_3MN,2,0.0,0.0,0.0,0.0,-0.83,0.549,-180,5,3.923,5,zero,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.022,-34.075,-0.07,False,-10,-0.52,-20,-0.301,-30,-0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40320.0,0.0,0.0,0.0,0.0,0.0,-0.705,0.564,-0.833,0.558,1
