barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode02	barcode02	test_sample	1	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode03	barcode03	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode04	barcode04	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode05	barcode05	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode06	barcode06	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode07	barcode07	test_sample	1	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode08	barcode08	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode09	barcode09	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode10	barcode10	test_sample	1	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode11	barcode11	test_sample	2	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode12	barcode12	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode13	barcode13	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode14	barcode14	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode15	barcode15	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode16	barcode16	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
barcode17	barcode17	test_sample	0	16645f0bba72bdd37a8f48a5cdc2bbcc60f72447	Jardin_botanique_1st	jardin_botanique	ANQ493	2023-07-20T18:20:42.099113+02:00
