channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,1328,2.29,0.972,True,1976,jardin_botanique,ANQ493,-1.521,1.532,10,1,1,8.58,1.549,18.723,28.327,38.16,-10,-20,-30,9.225,-1.512,1.501,0,single_pore,0,19584,0,222.76,2.74,0,1,10,-175,2,0,0,,,22888,0.0,159,20205,0,0,0,0
2,1,3276,-1.69,1.042,True,2979,jardin_botanique,ANQ493,-0.878,1.541,10,1,1,10.206,1.514,20.968,31.475,41.813,-10,-20,-30,10.144,-0.9,1.533,0,single_pore,0,26578,0,236.25,2.32,0,1,10,-175,2,0,0,,,32833,0.0,0,11538,0,0,0,0
3,1,0,-1.74,0.973,True,2061,jardin_botanique,ANQ493,-1.65,1.414,10,1,1,8.366,1.41,18.122,27.94,37.584,-10,-20,-30,8.652,-1.651,1.42,0,single_pore,0,41552,0,216.33,2.7,0,1,10,-175,2,0,0,,,43613,0.0,73,244,0,0,0,0
4,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
5,1,1991,0.99,1.005,True,3893,jardin_botanique,ANQ493,-2.329,1.379,10,1,1,8.346,1.377,18.775,28.777,38.878,-10,-20,-30,8.662,-2.417,1.381,0,single_pore,0,26527,0,225.55,2.35,0,1,10,-175,2,0,0,,,32411,0.0,0,11180,0,0,0,0
6,1,4056,-0.74,1.006,True,2907,jardin_botanique,ANQ493,-0.65,1.395,10,1,1,9.802,1.385,20.008,30.101,40.12,-10,-20,-30,9.909,-0.78,1.367,0,single_pore,0,8334,0,234.8,2.39,0,1,10,-175,2,0,1456,,,15297,0.0,0,28317,0,0,127,0
7,1,4732,-1.03,0.944,True,7040,jardin_botanique,ANQ493,-0.947,1.377,10,1,1,9.09,1.338,18.948,28.438,37.825,-10,-20,-30,10.093,-0.851,1.353,0,single_pore,0,26137,0,216.45,2.74,0,1,10,-175,2,2034,0,76.09,34.9,39943,0.0,0,4186,0,0,0,0
8,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
9,1,0,,,,0,jardin_botanique,ANQ493,,,10,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,10,-175,2,0,0,,,0,0.0,0,0,0,0,0,0
10,1,9131,1.08,0.98,True,6326,jardin_botanique,ANQ493,0.342,1.32,10,1,1,10.553,1.324,20.499,30.247,40.103,-10,-20,-30,10.894,0.319,1.288,0,single_pore,0,17298,0,223.4,2.28,0,1,10,-175,2,5544,0,77.94,37.2,38299,0.0,363,7955,0,0,0,0
