Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,30,13,17,0,131240,6363,11443,12143,131240
2,42,17,22,0,190408,9450,16994,16340,175876
3,173,71,65,0,730920,37064,66648,53013,573070
4,297,136,141,0,1255852,64065,115200,109705,1179471
5,439,177,235,0,1853691,93477,168090,160200,1745510
6,573,238,327,0,2403399,121178,217890,215356,2366016
7,688,288,364,0,2916887,146671,263733,250154,2759259
8,834,355,433,0,3558251,179489,322747,306494,3368998
9,988,431,500,0,4195205,211284,379916,360391,3962339
10,1145,510,590,0,4860225,244133,438989,422931,4656846
11,1300,578,682,0,5521692,277058,498191,485456,5362193
12,1438,653,741,0,6076039,304928,548297,532542,5891377
13,1581,728,815,0,6692601,335853,603901,589794,6518097
14,1739,814,890,0,7360339,368911,663344,650654,7194296
15,1884,910,941,0,7990414,400946,720949,710013,7846269
16,2032,985,1003,0,8598832,431585,776041,760678,8415024
17,2202,1059,1091,0,9312642,466997,839714,823774,9098816
18,2371,1134,1182,0,10056928,503345,905071,887944,9832080
19,2514,1200,1271,0,10680019,534493,961082,948145,10506765
20,2698,1288,1362,0,11431808,572641,1029671,1016231,11247732
21,2873,1403,1425,0,12186605,610894,1098459,1080882,11967296
22,3033,1500,1515,0,12864218,644868,1159541,1154442,12789319
23,3216,1580,1599,0,13652574,683691,1229354,1215583,13473166
24,3410,1662,1702,0,14504708,725647,1304802,1288626,14303704
25,3617,1755,1805,0,15355760,768053,1381054,1362934,15133929
26,3825,1854,1924,0,16243680,812855,1461613,1444777,16030577
27,4032,1969,2025,0,17119708,857413,1541737,1529864,16969012
28,4245,2067,2145,0,18029595,902371,1622578,1610623,17887824
29,4443,2141,2245,0,18874684,945025,1699274,1680651,18647990
30,4649,2234,2361,0,19789737,990298,1780678,1762240,19556282
31,4847,2321,2459,0,20646078,1033371,1858128,1831521,20333400
32,5038,2419,2555,0,21909234,1087070,1954703,1930369,21606686
33,5230,2524,2666,0,22756192,1129196,2030456,2016877,22571222
34,5439,2626,2797,0,23709700,1176706,2115886,2111113,23631568
35,5612,2698,2865,0,24491684,1215144,2185013,2166768,24275737
36,5813,2810,2972,0,25332818,1257559,2261275,2251362,25192753
37,6041,2922,3076,0,26276006,1305409,2347311,2331255,26089959
38,6244,3026,3166,0,27211122,1352376,2431769,2412617,27010577
39,6462,3135,3255,0,28159998,1399736,2516929,2489725,27862209
40,6656,3236,3357,0,29064128,1443224,2595135,2564569,28709451
41,6871,3330,3456,0,29979086,1488183,2675964,2639808,29632644
42,7110,3446,3604,0,31010133,1539060,2767446,2739031,30765759
43,7319,3556,3741,0,31902795,1583720,2847745,2830883,31795517
44,7531,3659,3840,0,32797013,1628066,2927478,2909244,32677803
45,7771,3781,3949,0,33811623,1679078,3019209,2994017,33629753
46,7972,3877,4064,0,34843314,1727512,3106310,3084339,34719794
47,8184,3971,4180,0,35762106,1773780,3189510,3164600,35620116
48,8405,4063,4292,0,36766987,1823421,3278771,3244253,36521176
49,8614,4153,4411,0,37721932,1870660,3363722,3330081,37508137
50,8827,4250,4530,0,38604417,1915354,3444081,3411465,38409504
51,9031,4356,4632,0,39494028,1960079,3524503,3493022,39317070
52,9247,4460,4727,0,40452754,2007918,3610534,3568689,40171835
53,9462,4571,4842,0,41378332,2054792,3694831,3656909,41166354
54,9705,4687,4971,0,42421482,2107405,3789440,3752309,42225274
55,9889,4776,5074,0,43264341,2149441,3865035,3828012,43076725
56,10117,4892,5178,0,44280540,2200051,3956041,3917363,44080114
57,10317,4999,5274,0,45152091,2243261,4033740,3993076,44959593
58,10563,5107,5390,0,46252987,2297424,4131134,4079844,45940834
59,10803,5226,5511,0,47304666,2349857,4225417,4171548,46999889
60,11068,5353,5640,0,48505565,2409585,4332818,4271351,48148632
61,11306,5479,5753,0,49547308,2462469,4427908,4367848,49222435
62,11529,5598,5866,0,50436565,2507152,4508246,4452863,50176328
63,11758,5713,5986,0,51481759,2559077,4601617,4546095,51212727
64,12002,5823,6104,0,52784134,2619754,4710737,4643811,52464677
65,12265,5932,6240,0,53979912,2678382,4816161,4736991,53552841
66,12530,6066,6366,0,55169757,2737882,4923157,4841054,54733030
67,12751,6181,6493,0,56128471,2785879,5009464,4936736,55817117
68,12993,6290,6621,0,57225807,2839601,5106060,5025199,56862751
69,13244,6429,6773,0,58374770,2896933,5209161,5141395,58185695
70,13488,6542,6875,0,59445860,2950114,5304787,5224296,59113815
71,13725,6677,6997,0,60459661,2999863,5394241,5321479,60242648
72,14002,6803,7164,0,61690748,3061373,5504848,5436148,61537034
73,14193,6890,7267,0,62515194,3102040,5577971,5507834,62365127
74,14431,6995,7389,0,63642600,3157118,5677016,5597140,63437454
75,14707,7111,7540,0,64933671,3220655,5791279,5704718,64656094
76,14993,7243,7696,0,66286931,3286365,5909442,5822333,66036128
77,15249,7369,7823,0,67427338,3342923,6011151,5922716,67185198
78,15505,7481,7958,0,68550596,3399061,6112092,6018077,68285429
79,15737,7608,8079,0,69590103,3449934,6203577,6111568,69367758
80,15961,7732,8184,0,70553378,3497616,6289319,6197388,70352093
81,16211,7854,8307,0,71738662,3555961,6394245,6296203,71495432
82,16458,7963,8451,0,72856025,3611689,6494458,6397510,72641870
83,16764,8087,8614,0,74211708,3677438,6612680,6506808,73913468
84,17046,8232,8773,0,75556767,3742856,6730319,6628232,75350922
85,17287,8353,8899,0,76660972,3796616,6826993,6725304,76484527
86,17514,8460,9017,0,77657374,3847280,6918099,6814705,77488920
87,17766,8564,9130,0,78847494,3905955,7023614,6903006,78503790
88,18024,8702,9264,0,80018864,3963509,7127103,7010556,79739266
89,18292,8811,9386,0,81266202,4025417,7238434,7105109,80838977
90,18537,8932,9531,0,82359562,4079784,7336207,7210814,82037341
91,18778,9049,9650,0,83439231,4134092,7433864,7303175,83083147
92,19022,9167,9792,0,84544539,4189226,7533004,7406605,84268474
93,19022,9202,9820,0,84544539,4189226,7533004,7430862,84544539
94,19022,9202,9820,0,84544539,4189226,7533004,7430862,84544539
95,19087,9221,9839,0,84830501,4203626,7558897,7445185,84708856
96,19264,9281,9898,0,85624180,4243469,7630544,7492618,85227955
97,19523,9416,10046,0,86761326,4300350,7732823,7599912,86473618
98,19792,9564,10196,0,87884404,4356774,7834280,7713267,87764290
99,20101,9695,10342,0,89236132,4424885,7956761,7817574,88943950
100,20382,9821,10486,0,90535064,4488544,8071231,7925397,90200791
101,20655,9958,10617,0,91804120,4551214,8183926,8034141,91450567
102,20936,10096,10736,0,93062351,4613555,8296023,8133745,92613253
103,21232,10243,10888,0,94361146,4679171,8414010,8250857,93906234
104,21541,10427,11039,0,95761883,4749114,8539791,8385370,95445223
105,21833,10609,11172,0,97084293,4815832,8659771,8510291,96859827
106,22132,10752,11297,0,98386367,4881164,8777256,8611934,98032917
107,22398,10872,11438,0,99560330,4939021,8881294,8710188,99137564
108,22690,10998,11590,0,100898329,5005542,9000918,8822188,100434506
109,22980,11140,11762,0,102154540,5068513,9114152,8942435,101822521
110,23285,11319,11911,0,103549610,5138070,9239237,9072149,103277531
111,23567,11468,12031,0,104850383,5203024,9356038,9183932,104557741
112,23853,11630,12164,0,106094239,5265276,9467973,9295645,105836750
113,24152,11773,12314,0,107356833,5328498,9581653,9406139,107085442
114,24430,11910,12454,0,108634392,5392409,9696590,9515909,108337136
115,24715,12054,12579,0,109897055,5454932,9809012,9617986,109519395
116,24999,12197,12713,0,111199064,5519683,9925452,9726135,110773233
117,25273,12359,12832,0,112411370,5580416,10034657,9834386,112041164
118,25556,12514,12959,0,113639120,5642344,10146017,9942228,113261850
119,25814,12654,13086,0,114794613,5700916,10251344,10048266,114451721
120,26107,12803,13213,0,116074980,5764860,10366323,10155661,115678246
121,26424,12949,13379,0,117458108,5834011,10490663,10277690,117052785
122,26694,13095,13511,0,118646059,5893163,10597033,10383463,118277903
123,26998,13246,13659,0,120121631,5965499,10727113,10507968,119728360
124,27254,13380,13788,0,121288893,6023160,10830802,10608974,120885310
125,27538,13523,13928,0,122540763,6085826,10943485,10717097,122138934
126,27782,13643,14075,0,123586734,6138780,11038697,10822614,123330027
127,28075,13767,14232,0,124902760,6204037,11156042,10929730,124568162
128,28335,13912,14362,0,126062457,6262218,11260670,11035732,125793649
129,28618,14047,14511,0,127363366,6326176,11375680,11147391,127070182
130,28905,14203,14635,0,128576862,6386273,11483741,11249432,128286903
131,29182,14348,14774,0,129839030,6448320,11595318,11357818,129552869
132,29463,14492,14909,0,131088786,6511668,11709230,11467621,130824855
133,29760,14648,15052,0,132433015,6577523,11827647,11583438,132162417
134,30025,14774,15187,0,133659902,6638376,11937076,11686529,133363662
135,30298,14895,15322,0,134920799,6700210,12048267,11788473,134548017
136,30598,15028,15462,0,136248390,6766923,12168234,11893044,135761398
137,30861,15169,15596,0,137456431,6827416,12277024,12002285,137022185
138,31123,15304,15731,0,138671737,6887766,12385550,12109329,138230539
139,31387,15431,15877,0,139902020,6949171,12495980,12219955,139533146
140,31661,15573,16016,0,141166107,7011495,12608055,12330853,140806055
141,31935,15737,16139,0,142355634,7071506,12715969,12443241,142097044
142,32209,15878,16288,0,143593968,7132844,12826281,12558309,143402049
143,32507,16029,16431,0,144900645,7198596,12944517,12671141,144701649
144,32804,16196,16560,0,146242301,7265578,13064976,12785245,145988692
145,33095,16337,16680,0,147545875,7330979,13182581,12888504,147174621
146,33367,16475,16794,0,148849176,7395205,13298081,12991939,148363286
147,33636,16604,16940,0,150122220,7458597,13412083,13105581,149684251
148,33944,16741,17091,0,151545019,7529296,13539221,13222089,151018127
149,34210,16886,17243,0,152745606,7588699,13646044,13338910,152370956
150,34498,17044,17393,0,154074573,7653932,13763345,13460815,153823342
151,34762,17184,17531,0,155309698,7714411,13872095,13567144,155081367
152,35058,17340,17674,0,156660773,7782598,13994707,13687900,156471316
153,35322,17468,17819,0,157808040,7840693,14099165,13791822,157650954
154,35596,17586,17924,0,159058404,7902893,14211004,13880717,158655372
155,35871,17728,18040,0,160333285,7966013,14324510,13984816,159881765
156,36136,17861,18190,0,161502640,8023837,14428491,14091884,161098537
157,36401,17998,18334,0,162662069,8081961,14532996,14199920,162360465
158,36670,18135,18474,0,163873731,8142261,14641432,14307301,163614180
159,36952,18281,18605,0,165174112,8206796,14757478,14414634,164854485
160,37216,18402,18714,0,166346746,8265267,14862619,14507177,165915994
161,37508,18561,18858,0,167674310,8330506,14979943,14617060,167246384
162,37759,18719,18995,0,168808655,8387280,15082043,14734207,168616774
163,38014,18858,19087,0,170036393,8446886,15189226,14826498,169727691
164,38252,18968,19202,0,171125619,8501664,15287734,14912607,170735478
165,38529,19121,19320,0,172384054,8564376,15400511,15017560,171964834
166,38785,19261,19467,0,173529275,8620886,15502135,15128024,173236244
167,39003,19363,19569,0,174567634,8672254,15594509,15212521,174254691
168,39269,19480,19735,0,175722193,8731057,15700251,15321054,175476473
169,39514,19571,19820,0,176805912,8785970,15798996,15392315,176271148
170,39744,19730,19951,0,177873090,8838941,15894247,15506220,177574652
171,39986,19862,20085,0,178971787,8893059,15991567,15610206,178801137
172,40274,19976,20195,0,180290076,8960078,16112092,15698522,179794058
173,40541,20114,20352,0,181538037,9021401,16222363,15816827,181191715
174,40781,20252,20452,0,182668620,9076738,16321878,15909116,182282955
175,41056,20404,20574,0,183919298,9138414,16432782,16015404,183540716
176,41298,20540,20712,0,185014089,9191884,16528924,16119525,184788121
177,41550,20652,20802,0,186136147,9248019,16629864,16198107,185700150
178,41814,20803,20942,0,187293039,9306266,16734604,16308394,186974712
179,42081,20939,21079,0,188609925,9370397,16849939,16418051,188315013
180,42331,21051,21173,0,189959722,9433528,16963473,16498344,189264980
181,42582,21202,21325,0,191145445,9491538,17067794,16627572,190882747
182,42825,21332,21426,0,192247368,9546112,17165934,16717744,191940425
183,43094,21473,21539,0,193482752,9608406,17277958,16820214,193114686
184,43325,21622,21667,0,194552455,9661730,17373847,16928601,194361521
185,43554,21727,21749,0,195580772,9712481,17465111,17001692,195240051
186,43662,21811,21821,0,196090727,9737663,17510389,17061360,195950896
