,Barcode,Species,gene,Volume(ml),note
0,68,Iris sibirica,"matk, ITS",,No Note
1,69,Eleocharis Palustris,ITS,,No Note
2,70,Cercidyphyllum japonicum,ITS,,No Note
3,71,Acer opalus Mill.,trnH-psbA,,No Note
4,72,Acer opalus Mill.,ITS,,No Note
5,73,Hedera colchica,trnH-psbA,,No Note
6,74,Hedera colchica,ITS,,No Note
7,75,Hedera colchica,matK,,No Note
8,76,Asarum europaeum,ITS,,No Note
9,77,bauhinia grandiflora,trnH-psbA,,No Note
10,78,bauhinia grandiflora,ITS,,No Note
11,79,Unknown ,trnH-psbA,,Solanum?
12,80,Iris sibirica,rbcL,,No Note
13,82,Photinia davidiana,trnH-psbA,,No Note
14,83,Photinia davidiana,ITS,,No Note
15,84,Photinia davidiana,rbcL,,No Note
16,85,Allium Ursinum,trnH-psbA,,No Note
17,86,Allium Ursinum,ITS,,No Note
18,87,Allium Ursinum,rbcL,,No Note
19,88,Convallaria magalis,trnH-psbA,,No Note
20,89,Ficus religiosa,trnH-psbA,,No Note
21,90,Ficus religiosa,ITS,,No Note
22,91,Ficus religiosa,rbcL,,No Note
23,92,bauhinia grandiflora,rbcL,,No Note
24,94,Heliconia bihai,trnH-psbA,,No Note
25,95,Annona muricata,ITS,,No Note
26,96,Annona muricata,trnH-psbA,,No Note
